,Policy,PolicyType,UsesProtectedFeatures,IsInterpretable,AverageSuccess,AverageSuccessWhiteOther,AverageSuccessBlackHispanic,AverageSuccessHi,AverageSuccessLow,AverageSuccessMid,AverageSuccessHiBlackHispanic,AverageSuccessHiWhiteOther,AverageSuccessLowBlackHispanic,AverageSuccessLowWhiteOther,AverageSuccessMidBlackHispanic,AverageSuccessMidWhiteOther,AverageTreatmentEffectWhiteOther,AverageTreatmentEffectBlackHispanic,AverageTreatmentEffectHi,AverageTreatmentEffectMid,AverageTreatmentEffectHiBlackHispanic,AverageTreatmentEffectHiWhiteOther,AverageTreatmentEffectMidBlackHispanic,AverageTreatmentEffectMidWhiteOther
20,20,RANDOM_MATCH_FCFS,0,TRUE,0.608146154,0.650180263,0.559053519,0.297223615,0.89350939,0.704219069,0.256148915,0.335732834,0.881901916,0.901654549,0.658405281,0.742838083,0.061918759,0.081258615,0.132852049,0.057056591,0.132446167,0.13323258,0.071002719,0.045300618
21,21,RANDOM_MATCH_FCFS,0,FALSE,0.649480199,0.692586244,0.599135624,0.534619211,0.864259744,0.6728964,0.494635748,0.572105351,0.854764598,0.870922646,0.61905226,0.718284647,0.10432474,0.12134072,0.370247645,0.025733922,0.370933,0.369605097,0.031649697,0.020747183
22,22,RANDOM_MATCH_FCFS,1,TRUE,0.631727364,0.653523919,0.60627065,0.439528527,0.927533087,0.677931212,0.481079347,0.400572925,0.918293047,0.934016978,0.629555726,0.718709624,0.065262414,0.128475747,0.275156961,0.030768734,0.357376599,0.198072671,0.042153164,0.02117216
23,23,RANDOM_MATCH_FCFS,0,FALSE,0.630519388,0.675170327,0.578370494,0.363502976,0.895371601,0.710840964,0.30541814,0.417959895,0.887966401,0.900567954,0.666039351,0.748606758,0.086908822,0.100575591,0.19913141,0.063678486,0.181715392,0.215459641,0.078636789,0.051069293
24,24,RANDOM_MATCH_FCFS,1,TRUE,0.613109843,0.611291736,0.615233252,0.299106529,0.930002541,0.706965573,0.368382998,0.234156992,0.92823849,0.931240404,0.691231958,0.72022832,0.023030232,0.137438349,0.134734963,0.059803095,0.24468025,0.031656738,0.103829396,0.022690855
25,25,RANDOM_MATCH_FCFS,0,FALSE,0.625223588,0.669121565,0.573954097,0.333849282,0.928197051,0.711330818,0.286847431,0.377915449,0.921001585,0.93324623,0.664039205,0.751195574,0.080860061,0.096159194,0.169477716,0.06416834,0.163144683,0.175415195,0.076636642,0.053658109
26,26,RANDOM_MATCH_FCFS,0,TRUE,0.614939879,0.657697868,0.565001806,0.380344447,0.932762819,0.676109351,0.345971492,0.412570505,0.927058121,0.9367659,0.624041323,0.720000413,0.069436364,0.087206903,0.215972881,0.028946873,0.222268744,0.210070251,0.036638761,0.022462949
27,27,RANDOM_MATCH_FCFS,0,FALSE,0.63036612,0.671694837,0.582097329,0.367423842,0.909742323,0.707412286,0.326760664,0.405547243,0.900478004,0.91624325,0.661244848,0.746329409,0.083433332,0.104302425,0.203052276,0.060249808,0.203057916,0.203046989,0.073842286,0.048791945
28,28,RANDOM_MATCH_FCFS,1,TRUE,0.618856555,0.673433155,0.555115246,0.418168406,0.918945394,0.668070914,0.349263993,0.482769125,0.910791911,0.92466683,0.609068859,0.717807058,0.085171651,0.077320343,0.25379684,0.020908437,0.225561245,0.280268871,0.021666297,0.020269594
29,29,RANDOM_MATCH_FCFS,1,FALSE,0.607194247,0.655606142,0.550652843,0.374784139,0.877859969,0.672673872,0.350861268,0.397212815,0.879910078,0.876421373,0.604605863,0.730052217,0.067344638,0.07285794,0.210412573,0.025511394,0.22715852,0.19471256,0.017203301,0.032514753
30,30,RANDOM_MATCH_FCFS,0,TRUE,0.619014856,0.662215565,0.56855972,0.279214255,0.891232457,0.72838882,0.231096879,0.324326272,0.879880734,0.899198151,0.684060493,0.765755655,0.073954061,0.090764816,0.114842689,0.081226342,0.107394131,0.121826018,0.09665793,0.068218191
